customer_id,first_name,last_name,email,signup_date,country,customer_segment,lifetime_value
7291,Tammy,Collins,ajones@example.net,2023-06-17,Yemen,Regular,721.77
8950,Kevin,Fitzgerald,rhondarogers@example.com,2022-07-19,Greece,VIP,4797.54
8902,April,Ross,joshua67@example.org,2024-09-20,Algeria,Premium,5121.42
9868,Kayla,Thompson,martinbarry@example.net,2025-01-30,Latvia,VIP,5991.82
1720,Terry,Thompson,julieturner@example.com,2023-07-13,United States of America,Premium,1422.96
8194,Rebecca,Gonzalez,kadams@example.com,2024-09-30,Anguilla,Regular,8600.51
7206,Nicholas,Walker,brettcastillo@example.com,2022-12-03,Gabon,Regular,8111.58
1166,Peggy,Harrington,randall64@example.org,2023-06-10,Zimbabwe,Regular,3320.7
6516,Denise,Wood,millerroger@example.net,2023-08-13,Guernsey,Premium,2409.11
1119,Austin,Dawson,gloriaallen@example.net,2022-12-26,Seychelles,Regular,4185.31
9334,Mathew,Mitchell,craig22@example.net,2024-12-27,Moldova,Regular,3846.99
8837,Johnny,Martin,derrick62@example.com,2024-05-16,Estonia,Premium,752.1
4102,Kevin,Walker,fernandezbrenda@example.org,2023-01-26,France,Regular,9123.18
5654,Christopher,Hart,allenbrandon@example.com,2023-06-02,Kyrgyz Republic,VIP,8954.1
8446,Amanda,Huff,cshaffer@example.com,2023-06-20,Cote d'Ivoire,VIP,6165.96
3129,Michael,Hahn,kclarke@example.org,2024-01-01,United States Virgin Islands,Premium,1333.27
7381,Diana,Jarvis,tylersmith@example.org,2022-12-12,Cayman Islands,VIP,8415.49
3699,Kenneth,Solis,donnacarter@example.org,2024-09-25,Senegal,Premium,1896.63
3328,Amy,Bush,cmartin@example.org,2024-05-22,Senegal,Premium,6000.24
4649,Kathryn,Keller,lauren55@example.net,2024-08-04,Albania,Regular,2250.38
3621,Robert,Johnson,davidanderson@example.net,2024-11-05,Dominica,Premium,6224.44
7239,Brandon,Adams,sara75@example.net,2023-07-01,Reunion,Premium,5476.95
4918,Laura,Hawkins,coopernathan@example.com,2023-09-20,Saint Pierre and Miquelon,Premium,2651.96
9996,Sabrina,Perkins,tspence@example.net,2022-11-05,Gabon,Premium,7486.61
7209,Amanda,Martinez,davidmorris@example.com,2025-02-02,Honduras,Regular,7639.55
8974,Heather,Church,gregorymurphy@example.com,2024-09-15,Iceland,Premium,9770.85
3620,Stephanie,Collins,mckinneyregina@example.org,2024-04-20,Peru,Premium,1510.38
8410,Chase,Williams,hollowaydanielle@example.net,2024-02-17,Fiji,VIP,8398.66
3786,David,Mueller,wendymorrow@example.org,2023-03-01,Equatorial Guinea,Regular,5019.16
4074,Christian,Gray,gmurray@example.net,2024-11-28,Reunion,VIP,2650.39
4366,Kyle,Mcclure,isabel77@example.com,2025-02-09,Svalbard & Jan Mayen Islands,VIP,4524.8
